                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5149,                 8.2485,                 4.8578,                      0,                      0,                      0,                      0,                 3.0113,                 7.4669,                 2.0837,                  2e-05,                  2e-05,                  2e-05
                      2,                 5.1156,                 7.4482,                 4.4159,                      0,                      0,                      0,                      0,                 3.3467,                 7.5289,                 2.3444,             5.9852e-05,             5.9852e-05,             5.9852e-05
                      3,                 5.1893,                 7.5066,                 4.4665,                      0,                      0,                      0,                      0,                  3.427,                 7.9681,                 2.8443,             9.9505e-05,             9.9505e-05,             9.9505e-05
                      4,                 4.5855,                 5.6696,                 3.7804,                      0,                      0,                      0,                      0,                  3.263,                 7.5648,                 3.3308,             0.00013896,             0.00013896,             0.00013896
                      5,                 4.1178,                 5.0223,                 3.2059,                      0,                      0,                      0,                      0,                 3.9928,                 5.2913,                 5.5323,             0.00017822,             0.00017822,             0.00017822
                      6,                 3.4975,                 4.1534,                 3.5483,                0.00333,                      1,                0.03431,                0.00343,                 3.5802,                 4.1704,                 6.4638,             0.00021728,             0.00021728,             0.00021728
                      7,                 3.3783,                 3.9707,                 3.0562,                0.00978,                      1,                0.33167,                0.06633,                 3.2351,                 4.3226,                 4.0669,             0.00025614,             0.00025614,             0.00025614
                      8,                 3.0798,                 3.3214,                  3.249,                0.42552,                      1,                  0.995,                 0.1194,                 3.2958,                 3.4781,                  2.951,              0.0002948,              0.0002948,              0.0002948
                      9,                  2.891,                 3.0968,                 3.1989,                0.07803,                      1,                0.16583,                0.03317,                 3.5197,                 3.3039,                 2.8133,             0.00033327,             0.00033327,             0.00033327
                     10,                  2.713,                 2.9127,                 2.8095,                0.00333,                      1,                0.06219,                0.00622,                 3.9219,                 3.6009,                 2.7372,             0.00037154,             0.00037154,             0.00037154
                     11,                 2.7553,                 2.8513,                 2.8041,                0.00333,                      1,                0.06219,                0.00622,                   3.94,                 3.4138,                 2.6476,             0.00040961,             0.00040961,             0.00040961
                     12,                 2.8729,                 2.9839,                 3.1986,                0.02617,                      1,                0.12437,                0.01244,                  3.631,                 2.8091,                 2.5257,             0.00044748,             0.00044748,             0.00044748
                     13,                 3.1159,                 2.6898,                 3.5184,                0.02617,                      1,                0.12437,                0.01244,                 3.8207,                 2.5993,                 2.5612,             0.00048515,             0.00048515,             0.00048515
                     14,                 2.9302,                 2.8194,                 2.8073,                0.23083,                      1,                 0.4975,                 0.0995,                  3.518,                 2.5803,                 2.3701,             0.00052263,             0.00052263,             0.00052263
                     15,                 2.8735,                 2.5596,                 2.6734,                0.21983,                      1,                0.24875,                0.04975,                  3.505,                 2.4776,                 2.2707,              0.0005599,              0.0005599,              0.0005599
                     16,                 2.8064,                 2.2734,                 3.1908,                0.20564,                      1,                0.24875,                0.04975,                 3.5069,                 2.6086,                 2.1973,             0.00059698,             0.00059698,             0.00059698
                     17,                  2.763,                 2.2709,                 3.4771,                0.18938,                      1,                0.24875,                0.04975,                 3.4312,                 2.4532,                 2.1789,             0.00063386,             0.00063386,             0.00063386
                     18,                 2.8365,                 2.2296,                 3.0156,                0.13703,                      1,                0.24875,                0.02488,                 3.4746,                 2.3904,                 2.1928,             0.00067055,             0.00067055,             0.00067055
                     19,                  2.856,                 2.3908,                 3.5755,                0.00333,                      1,                  0.199,                0.04201,                 3.5141,                 2.6744,                 2.2323,             0.00070703,             0.00070703,             0.00070703
                     20,                 2.6014,                 2.3105,                 3.3059,                0.00333,                      1,                 0.0995,                 0.0199,                 3.6085,                 3.3076,                 2.2811,             0.00074332,             0.00074332,             0.00074332
                     21,                 2.5573,                 1.9807,                 3.2097,                0.00333,                      1,                0.00378,                0.00076,                 3.5749,                 3.6382,                 2.2851,             0.00077941,             0.00077941,             0.00077941
                     22,                 2.3847,                 1.9671,                 3.2096,                0.00333,                      1,                0.00378,                0.00076,                 3.8301,                 4.1351,                 2.3563,              0.0008153,              0.0008153,              0.0008153
                     23,                 2.5169,                 1.8429,                 3.4321,                0.00333,                      1,                0.00378,                0.00076,                  4.238,                 4.0225,                 2.3788,               0.000851,               0.000851,               0.000851
                     24,                 3.0175,                 2.0624,                 3.0654,                0.00333,                      1,                0.00378,                0.00076,                  3.926,                 3.7772,                 2.3388,             0.00088649,             0.00088649,             0.00088649
                     25,                 2.6788,                 2.2733,                 3.3091,                0.41922,                0.83844,                 0.4975,                 0.0995,                 3.8508,                 4.2194,                 2.3769,             0.00092179,             0.00092179,             0.00092179
                     26,                 2.7154,                 2.1809,                 2.8911,                0.39263,                      1,                 0.4975,                0.11608,                 3.5547,                 3.9158,                   2.39,             0.00095689,             0.00095689,             0.00095689
                     27,                 2.8159,                 2.0417,                 3.3072,                0.62072,                      1,                  0.995,                0.10171,                 3.2056,                 3.5121,                  2.286,             0.00099179,             0.00099179,             0.00099179
                     28,                 2.4636,                 1.9895,                 2.9803,                0.62072,                      1,                  0.995,                0.10171,                 3.2056,                 3.5121,                  2.286,              0.0010265,              0.0010265,              0.0010265
                     29,                 2.5141,                 1.8582,                 3.1279,                0.21469,                      1,                  0.995,                0.12437,                 3.0927,                 2.6475,                 2.1098,               0.001061,               0.001061,               0.001061
                     30,                 2.6259,                 1.6914,                 2.9139,                0.23302,                      1,                 0.4975,                0.18905,                 2.8499,                 1.9753,                 2.1269,              0.0010953,              0.0010953,              0.0010953
                     31,                 2.5832,                 2.2511,                 2.7208,                0.23302,                      1,                 0.4975,                0.18905,                 2.8499,                 1.9753,                 2.1269,              0.0011294,              0.0011294,              0.0011294
                     32,                 2.5665,                 1.8627,                 2.7625,                0.43163,                0.86327,                 0.4975,                0.14925,                 3.1928,                 1.6828,                 2.1551,              0.0011633,              0.0011633,              0.0011633
                     33,                 2.7205,                 2.0497,                 3.1663,                0.00704,                      1,                  0.199,                 0.0199,                 3.7514,                 1.8841,                 2.0907,               0.001197,               0.001197,               0.001197
                     34,                 2.7991,                 2.0421,                 2.7388,                0.00704,                      1,                  0.199,                 0.0199,                 3.7514,                 1.8841,                 2.0907,              0.0012306,              0.0012306,              0.0012306
                     35,                 2.7473,                 2.1644,                 2.6278,                0.19542,                      1,                0.24875,                0.04975,                  2.747,                 2.7802,                 1.8368,              0.0012639,              0.0012639,              0.0012639
                     36,                  2.472,                  1.997,                 2.6248,                0.48902,                0.97805,                 0.4975,                 0.0995,                 2.6016,                 2.8746,                 1.6968,               0.001297,               0.001297,               0.001297
                     37,                 2.7539,                 2.0145,                 2.8461,                0.48902,                0.97805,                 0.4975,                 0.0995,                 2.6016,                 2.8746,                 1.6968,              0.0013299,              0.0013299,              0.0013299
                     38,                  2.668,                 1.9241,                 3.1848,                0.86795,                      1,                  0.995,                0.13267,                 2.9371,                 2.6691,                  1.652,              0.0013626,              0.0013626,              0.0013626
                     39,                 2.4703,                 1.8052,                 2.8622,                0.61516,                      1,                  0.995,                  0.199,                 3.3024,                 1.9861,                 1.9062,              0.0013952,              0.0013952,              0.0013952
                     40,                 2.3726,                 1.9694,                 2.5114,                0.61516,                      1,                  0.995,                  0.199,                 3.3024,                 1.9861,                 1.9062,              0.0014275,              0.0014275,              0.0014275
                     41,                 2.4596,                 1.9831,                  2.856,                 0.6549,                      1,                  0.995,                  0.199,                 2.9347,                 1.9258,                 2.0212,              0.0014596,              0.0014596,              0.0014596
                     42,                 2.3061,                 2.1236,                 2.8436,                 0.1711,                      1,                  0.199,                 0.0796,                 2.6331,                 2.0709,                 2.3537,              0.0014916,              0.0014916,              0.0014916
                     43,                 2.6166,                  1.723,                 3.0132,                 0.1711,                      1,                  0.199,                 0.0796,                 2.6331,                 2.0709,                 2.3537,              0.0015233,              0.0015233,              0.0015233
                     44,                 2.3798,                 1.6736,                 3.2358,                0.03999,                      1,                0.14214,                0.02843,                 3.0265,                 1.4998,                 6.4015,              0.0015548,              0.0015548,              0.0015548
                     45,                 2.6562,                 1.6784,                 3.0263,                0.03999,                      1,                0.14214,                0.02843,                 3.0265,                 1.4998,                 6.4015,              0.0015862,              0.0015862,              0.0015862
                     46,                 2.6917,                 1.7075,                 3.2402,                0.67796,                      1,                  0.995,                 0.2985,                 2.9477,                 1.4892,                 6.3167,              0.0016173,              0.0016173,              0.0016173
                     47,                 2.4936,                 1.7453,                 3.1149,                0.67796,                      1,                  0.995,                 0.2985,                 2.9477,                 1.4892,                 6.3167,              0.0016482,              0.0016482,              0.0016482
                     48,                 2.7343,                 1.6253,                 2.9409,                0.44131,                      1,                  0.995,                  0.597,                 2.3317,                 2.0787,                 6.4192,               0.001679,               0.001679,               0.001679
                     49,                 2.6241,                 1.7311,                 3.8079,                0.44131,                      1,                  0.995,                  0.597,                 2.3317,                 2.0787,                 6.4192,              0.0017095,              0.0017095,              0.0017095
                     50,                 2.6961,                 1.6867,                 3.1633,                0.24384,                      1,                  0.995,                  0.199,                 2.5154,                 1.7138,                 5.9668,              0.0017399,              0.0017399,              0.0017399
                     51,                 2.5312,                  1.772,                 2.9556,                0.24384,                      1,                  0.995,                  0.199,                 2.5154,                 1.7138,                 5.9668,              0.0017525,              0.0017525,              0.0017525
                     52,                 2.3185,                 1.7205,                 3.7972,                0.91275,                      1,                  0.995,                 0.2985,                 2.3157,                 1.2814,                 7.0913,              0.0017525,              0.0017525,              0.0017525
                     53,                 2.5614,                 1.5433,                 3.6686,                0.91275,                      1,                  0.995,                 0.2985,                 2.3157,                 1.2814,                 7.0913,              0.0017476,              0.0017476,              0.0017476
                     54,                 2.2938,                   1.68,                 3.4694,                0.93471,                      1,                  0.995,                  0.199,                 2.8575,                  1.339,                  6.826,              0.0017426,              0.0017426,              0.0017426
                     55,                 2.8749,                 1.6629,                 3.7824,                0.93471,                      1,                  0.995,                  0.199,                 2.8575,                  1.339,                  6.826,              0.0017376,              0.0017376,              0.0017376
                     56,                 2.9658,                 1.7927,                 3.9162,                0.00578,                      1,                 0.0065,                 0.0013,                  3.408,                 1.7263,                 6.4406,              0.0017327,              0.0017327,              0.0017327
                     57,                 2.8842,                 1.6736,                 4.0611,                0.00578,                      1,                 0.0065,                 0.0013,                  3.408,                 1.7263,                 6.4406,              0.0017278,              0.0017278,              0.0017278
                     58,                 2.7576,                 1.6519,                 3.8166,                0.00578,                      1,                 0.0065,                 0.0013,                 3.3524,                 1.9325,                 6.2154,              0.0017228,              0.0017228,              0.0017228
                     59,                 3.0919,                 1.6304,                 3.5753,                0.00578,                      1,                 0.0065,                 0.0013,                 3.3524,                 1.9325,                 6.2154,              0.0017179,              0.0017179,              0.0017179
                     60,                 2.9504,                 1.6619,                  3.344,                0.93949,                      1,                  0.995,                  0.199,                 2.7435,                 1.4146,                 6.5457,              0.0017129,              0.0017129,              0.0017129
                     61,                 2.7791,                 1.5796,                 3.5887,                0.93949,                      1,                  0.995,                  0.199,                 2.7435,                 1.4146,                 6.5457,               0.001708,               0.001708,               0.001708
                     62,                 2.6574,                 1.6223,                  3.508,                0.93987,                      1,                  0.995,                 0.2985,                 2.7364,                 1.8256,                 6.6982,               0.001703,               0.001703,               0.001703
                     63,                 2.4752,                 1.4948,                 3.8248,                0.93987,                      1,                  0.995,                 0.2985,                 2.7364,                 1.8256,                 6.6982,               0.001698,               0.001698,               0.001698
                     64,                 2.5393,                 1.3846,                 4.2186,                0.57607,                      1,                  0.995,                  0.199,                 2.5392,                 1.4894,                 6.4485,              0.0016931,              0.0016931,              0.0016931
                     65,                  2.774,                 1.6588,                 3.8483,                0.57607,                      1,                  0.995,                  0.199,                 2.5392,                 1.4894,                 6.4485,              0.0016882,              0.0016882,              0.0016882
                     66,                 2.6956,                 1.5528,                 3.5067,                0.24926,                      1,                0.33167,                0.10779,                 2.9778,                 1.7333,                 6.0528,              0.0016832,              0.0016832,              0.0016832
                     67,                 2.6058,                 1.5914,                 3.4204,                0.24926,                      1,                0.33167,                0.10779,                 2.9778,                 1.7333,                 6.0528,              0.0016783,              0.0016783,              0.0016783
                     68,                  2.695,                 1.7294,                 3.1227,                  0.237,                      1,                0.24875,                0.06022,                 3.3451,                 1.6271,                 5.5915,              0.0016733,              0.0016733,              0.0016733
                     69,                 2.4919,                 1.7057,                 3.2144,                  0.237,                      1,                0.24875,                0.06022,                 3.3451,                 1.6271,                 5.5915,              0.0016684,              0.0016684,              0.0016684
                     70,                 2.5237,                 1.6904,                 2.9169,                0.00662,                      1,                0.07107,                0.02843,                 3.6726,                 2.1449,                 5.3123,              0.0016634,              0.0016634,              0.0016634
                     71,                  2.724,                 1.7117,                 2.8022,                0.00662,                      1,                0.07107,                0.02843,                 3.6726,                 2.1449,                 5.3123,              0.0016585,              0.0016585,              0.0016585
                     72,                 2.6189,                 1.6019,                 3.3556,                0.00704,                      1,                0.09045,                0.02714,                 3.8908,                 1.8874,                 5.3742,              0.0016535,              0.0016535,              0.0016535
                     73,                 2.5071,                 1.7697,                 2.8869,                0.00704,                      1,                0.09045,                0.02714,                 3.8908,                 1.8874,                 5.3742,              0.0016485,              0.0016485,              0.0016485
                     74,                 2.7144,                  1.878,                 3.1003,                0.00654,                      1,                0.12437,                0.04975,                 3.6836,                 2.0118,                 5.4633,              0.0016436,              0.0016436,              0.0016436
                     75,                 2.4486,                 1.6511,                 3.2507,                0.00654,                      1,                0.12437,                0.04975,                 3.6836,                 2.0118,                 5.4633,              0.0016386,              0.0016386,              0.0016386
                     76,                 2.4172,                 1.6834,                 3.7573,                0.18937,                      1,                  0.995,                0.11194,                 3.6263,                 1.9839,                 5.5116,              0.0016337,              0.0016337,              0.0016337
                     77,                 2.5572,                 1.6149,                 3.7044,                0.18937,                      1,                  0.995,                0.11194,                 3.6263,                 1.9839,                 5.5116,              0.0016287,              0.0016287,              0.0016287
                     78,                 2.6141,                 1.5374,                   3.09,                0.19264,                      1,                 0.4975,                 0.0995,                 3.4176,                 1.8108,                 5.6425,              0.0016238,              0.0016238,              0.0016238
                     79,                 2.3824,                 1.5808,                   3.79,                0.19264,                      1,                 0.4975,                 0.0995,                 3.4176,                 1.8108,                 5.6425,              0.0016189,              0.0016189,              0.0016189
                     80,                 2.2864,                 1.4618,                 3.8934,                0.28436,                      1,                  0.995,                0.12437,                 3.1795,                 1.3349,                 5.7397,              0.0016139,              0.0016139,              0.0016139
                     81,                 2.2788,                 1.5301,                 3.8563,                0.28436,                      1,                  0.995,                0.12437,                 3.1795,                 1.3349,                 5.7397,              0.0016089,              0.0016089,              0.0016089
                     82,                 2.5718,                 1.5123,                 4.1378,                0.28436,                      1,                  0.995,                0.12437,                 3.3549,                 1.5486,                 5.6206,               0.001604,               0.001604,               0.001604
                     83,                 2.6993,                 1.7131,                 3.9276,                0.28436,                      1,                  0.995,                0.12437,                 3.3549,                 1.5486,                 5.6206,              0.0015991,              0.0015991,              0.0015991
                     84,                 3.0388,                 1.7718,                 3.7049,                0.00625,                      1,                0.00975,                0.00195,                 3.9887,                  2.285,                  5.123,              0.0015941,              0.0015941,              0.0015941
                     85,                 2.6389,                 1.5569,                 3.0329,                0.00625,                      1,                0.00975,                0.00195,                 3.9887,                  2.285,                  5.123,              0.0015892,              0.0015892,              0.0015892
                     86,                  2.612,                 1.6302,                 3.0927,                 0.0061,                      1,                0.04146,                0.00415,                 4.1052,                 2.2845,                 4.8938,              0.0015842,              0.0015842,              0.0015842
                     87,                 2.4983,                 1.4655,                 2.7543,                 0.0061,                      1,                0.04146,                0.00415,                 4.1052,                 2.2845,                 4.8938,              0.0015793,              0.0015793,              0.0015793
                     88,                 2.8209,                 1.5136,                 2.8009,                0.00641,                      1,                0.04523,                0.00452,                 3.7807,                 1.8652,                 5.0196,              0.0015743,              0.0015743,              0.0015743
                     89,                  2.594,                 1.5048,                 2.6628,                0.00641,                      1,                0.04523,                0.00452,                 3.7807,                 1.8652,                 5.0196,              0.0015693,              0.0015693,              0.0015693
                     90,                 2.5241,                 1.6165,                 3.0315,                0.48731,                      1,                  0.995,                  0.199,                 3.5459,                 1.4322,                 5.4709,              0.0015644,              0.0015644,              0.0015644
                     91,                 2.7333,                 1.5781,                 2.9429,                0.48731,                      1,                  0.995,                  0.199,                 3.5459,                 1.4322,                 5.4709,              0.0015594,              0.0015594,              0.0015594
                     92,                 2.7265,                 1.4798,                 3.0675,                0.88972,                      1,                  0.995,                 0.2985,                 3.3763,                 1.5676,                 5.6477,              0.0015545,              0.0015545,              0.0015545
                     93,                 2.9589,                 1.5183,                 3.5488,                0.88972,                      1,                  0.995,                 0.2985,                 3.3763,                 1.5676,                 5.6477,              0.0015496,              0.0015496,              0.0015496
                     94,                 2.6217,                 1.6919,                 3.5717,                 0.8475,                      1,                  0.995,                  0.398,                 3.0362,                  1.554,                 5.9452,              0.0015446,              0.0015446,              0.0015446
                     95,                 2.4933,                 1.4568,                 3.5613,                 0.8475,                      1,                  0.995,                  0.398,                 3.0362,                  1.554,                 5.9452,              0.0015397,              0.0015397,              0.0015397
                     96,                 2.4033,                 1.4463,                 3.3351,                0.30263,                      1,                  0.995,                0.11194,                 2.9795,                 1.7785,                 5.6735,              0.0015347,              0.0015347,              0.0015347
                     97,                 2.7585,                 1.5796,                 3.4823,                0.30263,                      1,                  0.995,                0.11194,                 2.9795,                 1.7785,                 5.6735,              0.0015298,              0.0015298,              0.0015298
                     98,                 2.3541,                 1.4589,                 3.3813,                0.00518,                      1,                0.07654,                0.02187,                 4.1064,                 2.0373,                 3.3707,              0.0015248,              0.0015248,              0.0015248
                     99,                 2.5974,                 1.5637,                 3.2147,                0.00518,                      1,                0.07654,                0.02187,                 4.1064,                 2.0373,                 3.3707,              0.0015199,              0.0015199,              0.0015199
